Wavelength,Intensity
560.204,7673630.0
560.408,7728840.0
560.613,7718430.0
560.817,7702715.0
561.021,7704759.999999999
561.226,7770758.333333334
561.43,7679846.666666667
561.635,7699243.333333333
561.839,7689911.666666667
562.043,7728963.333333333
562.248,7724895.0
562.452,7739376.666666667
562.656,7774828.333333333
562.861,7756945.0
563.065,7739216.666666667
563.269,7779763.333333333
563.474,7819655.0
563.678,7806008.333333334
563.882,7808875.0
564.086,7891975.0
564.291,7805195.0
564.495,7883356.666666666
564.699,7886923.333333333
564.903,7943870.0
565.107,7902661.666666667
565.311,7928408.333333333
565.516,7950076.666666666
565.72,7945598.333333333
565.924,7918591.666666667
566.128,8019396.666666666
566.332,8018400.0
566.536,8044003.333333333
566.74,8015856.666666666
566.944,8056546.666666666
567.148,7996633.333333334
567.352,8035646.666666666
567.556,7984669.999999999
567.76,8010850.0
567.964,7985471.666666667
568.168,7990386.666666666
568.372,7969678.333333333
568.576,8029321.666666667
568.78,7923845.0
568.984,8017440.0
569.188,7938788.333333334
569.392,7961278.333333333
569.595,7930261.666666666
569.799,7985863.333333333
570.003,7940221.666666667
570.207,7982375.0
570.411,7976108.333333333
570.615,8031236.666666666
570.818,7996421.666666666
571.022,8047251.666666667
571.226,8032471.666666667
571.43,8057641.666666666
571.633,8066496.666666667
571.837,8026001.666666667
572.041,7958943.333333334
572.244,8071090.0
572.448,8012501.666666667
572.652,8061208.333333333
572.855,8045896.666666666
573.059,8081931.666666666
573.263,8040916.666666666
573.466,8103425.0
573.67,8036995.0
573.873,8117490.0
574.077,8051316.666666667
574.28,8057041.666666666
574.484,8107408.333333333
574.687,8076971.666666667
574.891,8113531.666666667
575.094,8140266.666666666
575.298,8082016.666666666
575.501,8196074.999999999
575.705,8144943.333333334
575.908,8186949.999999999
576.112,8178060.0
576.315,8172663.333333334
576.518,8216673.333333333
576.722,8199641.666666666
576.925,8228740.0
577.129,8199173.333333333
577.332,8181711.666666666
577.535,8230053.333333333
577.739,8142686.666666667
577.942,8203539.999999999
578.145,8189115.0
578.348,8203123.333333333
578.552,8201573.333333334
578.755,8243461.666666666
578.958,8220305.0
579.161,8257884.999999999
579.365,8247936.666666667
579.568,8268951.666666666
579.771,8258106.666666666
579.974,8307169.999999999
580.177,8245751.666666667
580.38,8287871.666666667
580.583,8263251.666666667
580.787,8261930.0
580.99,8304056.666666666
581.193,8291745.0
581.396,8311156.666666667
581.599,8340264.999999999
581.802,8253256.666666667
582.005,8373893.333333333
582.208,8315188.333333333
582.411,8394273.333333334
582.614,8393866.666666666
582.817,8410480.0
583.02,8422033.333333332
583.223,8445685.0
583.426,8447578.333333334
583.629,8428426.666666666
583.831,8463143.333333334
584.034,8458225.0
584.237,8439875.0
584.44,8491705.0
584.643,8488603.333333334
584.846,8535091.666666666
585.049,8552653.333333332
585.251,8539420.0
585.454,8522790.0
585.657,8579383.333333334
585.86,8538570.0
586.062,8570866.666666666
586.265,8604616.666666666
586.468,8542966.666666666
586.671,8558386.666666666
586.873,8588826.666666666
587.076,8594493.333333332
587.279,8575603.333333334
587.481,8551243.333333332
587.684,8601743.333333332
587.886,8521376.666666666
588.089,8605805.0
588.292,8565633.333333334
588.494,8595350.0
588.697,8588636.666666666
588.899,8663126.666666666
589.102,8628766.666666666
589.304,8662891.666666666
589.507,8648538.333333334
589.709,8685365.0
589.912,8742496.666666668
590.114,8742486.666666666
590.317,8674428.333333334
590.519,8737571.666666666
590.722,8734038.333333334
590.924,8667090.0
591.126,8698133.333333334
591.329,8684788.333333334
591.531,8650345.0
591.734,8688615.0
591.936,8727801.666666666
592.138,8723553.333333334
592.341,8772291.666666666
592.543,8721228.333333334
592.745,8685485.0
592.947,8742250.0
593.15,8752228.333333334
593.352,8736826.666666666
593.554,8742448.333333334
593.756,8776005.0
593.959,8785965.0
594.161,8753788.333333334
594.363,8765198.333333334
594.565,8796026.666666668
594.767,8777425.0
594.969,8872791.666666666
595.171,8807158.333333332
595.374,8843075.0
595.576,8836443.333333334
595.778,8815966.666666666
595.98,8869596.666666666
596.182,8842051.666666666
596.384,8796495.0
596.586,8884585.0
596.788,8824066.666666666
596.99,8894513.333333334
597.192,8836713.333333332
597.394,8842755.0
597.596,8872420.0
597.798,8870430.0
598.0,8866763.333333334
598.202,8903610.0
598.403,8879953.333333334
598.605,8911710.0
598.807,8892725.0
599.009,8941736.666666666
599.211,8879345.0
599.413,8936721.666666666
599.615,8938418.333333334
