Wavelength(nm),Intensity
544.213,29940.4
544.418,30006.73
544.624,30049.56
544.829,30088.39
545.035,30001.68
545.24,30116.44
545.446,30087.1
545.651,30391.83
545.857,30131.6
546.062,30175.16
546.267,30108.21
546.473,30419.91
546.678,30486.25
546.884,30277.41
547.089,30219.03
547.294,30457.84
547.5,30242.82
547.705,30236.74
547.91,30259.88
548.116,30264.23
548.321,30665.46
548.526,30550.04
548.731,30421.84
548.937,30756.68
549.142,30566.4
549.347,30756.99
549.552,30605.17
549.757,30832.5
549.963,30591.59
550.168,30628.7
550.373,30559.24
550.578,30586.86
550.783,30638.94
550.988,30523.4
551.193,30770.91
551.398,30708.88
551.603,30673.8
551.808,30672.26
552.013,30588.15
552.218,30682.73
552.424,30846.09
552.628,30621.72
552.833,30879.11
553.038,30741.2
553.243,30767.21
553.448,30963.09
553.653,31160.6
553.858,31044.6
554.063,30960.8
554.268,31168.51
554.473,31121.75
554.678,31376.29
554.883,31266.01
555.087,31511.66
555.292,31318.52
555.497,31674.19
555.702,31524.3
555.907,31681.24
556.111,31772.72
556.316,31667.31
556.521,31678.9
556.725,31909.4
556.93,31692.46
557.135,31980.71
557.34,31898.4
557.544,31809.83
557.749,32055.95
557.954,31898.42
558.158,32079.77
558.363,32042.72
558.567,31995.35
558.772,32086.08
558.977,31970.35
559.181,32195.03
559.386,31937.37
559.59,32118.35
559.795,32044.87
559.999,32296.4
560.204,31935.45
560.408,32239.84
560.613,32264.48
560.817,32212.83
561.021,32354.28
561.226,32732.93
561.43,32454.59
561.635,32555.21
561.839,32465.24
562.043,32634.56
562.248,32591.5
562.452,32581.91
562.656,32681.2
562.861,32545.81
563.065,32500.3
563.269,32603.6
563.474,32825.41
563.678,32762.64
563.882,32742.96
564.086,33081.96
564.291,32644.05
564.495,32946.31
564.699,32908.97
564.903,33126.57
565.107,32866.52
565.311,32935.94
565.516,32967.2
565.72,32885.46
565.924,32722.34
566.128,33133.76
566.332,33204.74
566.536,33361.29
566.74,33297.0
566.944,33562.72
567.148,33395.88
567.352,33630.74
567.556,33465.02
567.76,33620.4
567.964,33562.38
568.168,33630.39
568.372,33616.09
568.576,33957.76
568.78,33489.82
568.984,33933.28
569.188,33664.14
569.392,33840.67
569.595,33723.04
569.799,33947.5
570.003,33838.85
570.207,34127.31
570.411,34123.4
570.615,34413.25
570.818,34295.43
571.022,34552.22
571.226,34559.08
571.43,34708.71
571.633,34825.54
571.837,34684.36
572.041,34495.64
572.244,34972.57
572.448,34772.07
572.652,34982.4
572.855,34955.14
573.059,35093.19
573.263,34906.11
573.466,35251.79
573.67,34892.33
573.873,35276.42
574.077,35010.25
574.28,35107.69
574.484,35402.09
574.687,35358.67
574.891,35607.29
575.094,35734.74
575.298,35520.6
575.501,36017.3
575.705,35847.68
575.908,35934.23
576.112,35952.97
576.315,35930.93
576.518,36123.01
576.722,36053.14
576.925,36225.72
577.129,36102.33
577.332,36031.76
577.535,36326.95
577.739,36024.69
577.942,36330.25
578.145,36300.98
578.348,36413.09
578.552,36441.92
578.755,36680.31
578.958,36584.54
579.161,36895.69
579.365,36867.86
579.568,36943.84
579.771,36936.61
579.974,37287.57
580.177,37010.68
580.38,37227.24
580.583,37153.47
580.787,37144.09
580.99,37461.98
581.193,37416.63
581.396,37543.87
581.599,37732.61
581.802,37422.39
582.005,38084.43
582.208,37882.61
582.411,38338.57
582.614,38383.75
582.817,38524.07
583.02,38667.59
583.223,38840.71
583.426,38924.47
583.629,38967.95
583.831,39165.93
584.034,39248.27
584.237,39170.35
584.44,39403.98
584.643,39424.4
584.846,39646.95
585.049,39715.38
585.251,39683.26
585.454,39647.49
585.657,40035.84
585.86,39864.71
586.062,40153.62
586.265,40420.39
586.468,40196.81
586.671,40322.41
586.873,40642.82
587.076,40643.27
587.279,40605.69
587.481,40516.54
587.684,40714.48
587.886,40235.27
588.089,40614.54
588.292,40317.93
588.494,40470.13
588.697,40370.5
588.899,40737.6
589.102,40558.93
589.304,40776.84
589.507,40762.46
589.709,40923.08
589.912,41193.87
590.114,41343.86
590.317,41180.1
590.519,41670.24
590.722,41844.81
590.924,41611.59
591.126,41920.26
591.329,41965.42
591.531,41831.58
591.734,42053.79
591.936,42230.47
592.138,42201.26
592.341,42541.59
592.543,42327.17
592.745,42116.13
592.947,42390.19
593.15,42487.53
593.352,42478.76
593.554,42549.56
593.756,42787.45
593.959,42915.08
594.161,42832.79
594.363,42937.06
594.565,43243.55
594.767,43027.25
594.969,43676.68
595.171,43336.76
595.374,43547.15
595.576,43692.63
595.778,43608.26
595.98,43920.27
596.182,43821.12
596.384,43564.76
596.586,43920.47
596.788,43645.92
596.99,43964.4
597.192,43671.76
597.394,43809.37
597.596,44052.46
597.798,44103.19
598.0,44146.42
598.202,44421.08
598.403,44335.27
598.605,44604.18
598.807,44587.47
599.009,44814.65
599.211,44502.79
599.413,44812.73
599.615,44787.19
599.816,44902.08
600.018,44879.39
600.22,44765.52
600.422,44949.35
600.623,45141.86
600.825,45222.38
601.027,45229.33
601.228,45335.25
601.43,45321.36
601.632,45262.16
601.833,45367.34
602.035,45560.42
602.237,45949.82
602.438,45388.8
602.64,45924.22
602.842,45371.84
603.043,45683.73
603.245,45748.34
603.446,45779.9
603.648,45356.03
603.849,45794.46
604.051,45299.51
604.252,45484.01
604.454,45574.98
604.655,45730.22
604.857,45502.3
605.058,45841.46
605.259,45819.59
605.461,45971.12
605.662,45842.18
605.864,45989.66
606.065,45716.87
606.266,46021.5
606.468,45976.32
606.669,45949.7
606.87,45974.46
607.072,45744.9
607.273,45750.51
607.474,45803.62
607.675,45577.71
607.877,45809.11
608.078,45382.62
608.279,45532.84
608.48,45836.39
608.681,45822.21
608.883,45814.7
609.084,46378.36
609.285,46117.37
609.486,46087.24
609.687,46159.39
609.888,45968.87
610.089,46060.41
610.29,46024.35
610.491,45717.87
610.692,46265.66
610.893,45915.72
611.094,46026.33
611.295,46135.12
611.496,46162.03
611.697,46119.13
611.898,46476.46
612.099,46185.99
612.3,46489.52
612.501,46794.22
612.702,46816.26
612.903,46807.63
613.104,46605.85
613.305,46614.06
613.505,46861.03
613.706,46536.2
613.907,46699.69
614.108,46658.89
614.309,46727.23
